,names,accent,description,age,gender,use_case,voice_id
0,Rachel,american,calm,young,female,narration,21m00Tcm4TlvDq8ikWAM
1,Clyde,american,war veteran,middle aged,male,video games,2EiwWnXFnvU5JabPnv8n
2,Domi,american,strong,young,female,narration,AZnzlk1XvdvUeBnXmlld
3,Dave,british-essex,conversational,young,male,video games,CYw3kZ02Hs0563khs1Fj
4,Fin,irish,sailor,old,male,video games,D38z5RcWu1voky8WS1ja
5,Bella,american,soft,young,female,narration,EXAVITQu4vr4xnSDxMaL
6,Antoni,american,well-rounded,young,male,narration,ErXwobaYiN019PkySvjV
7,Thomas,american,calm,young,male,meditation,GBv7mTt0atIp3Br8iCZE
8,Charlie,australian,casual,middle aged,male,conversational,IKne3meq5aSn9XLyUdCD
9,Emily,american,calm,young,female,meditation,LcfcDJNUP1GQjkzn1xUU
10,Elli,american,emotional,young,female,narration,MF3mGyEYCl7XYWbV9V6O
11,Callum,american,hoarse,middle aged,male,video games,N2lVS1w4EtoT3dr4eOWO
12,Patrick,american,shouty,middle aged,male,video games,ODq5zmih8GrVes37Dizd
13,Harry,american,anxious,young,male,video games,SOYHLrjzK2X1ezoPC6cr
14,Liam,american,neutral,young,male,narration,TX3LPaxmHKxFdv7VOQHJ
15,Dorothy,british,pleasant,young,female,children's stories,ThT5KcBeYPX3keUQqHPh
16,Josh,american,deep,young,male,narration,TxGEqnHWrfWFTfGW9XjX
17,Arnold,american,crisp,middle aged,male,narration,VR6AewLTigWG4xSOukaG
18,Charlotte,english-swedish,seductive,middle aged,female,video games,XB0fDUnXU5powFXDhCwa
19,Matilda,american,warm,young,female,audiobook,XrExE9yKIg1WjnnlVkGX
20,Matthew,british,calm,middle aged,male,audiobook,Yko7PKHZNXotIFUBG7I9
21,James,australian,calm,old,male,news,ZQe5CZNOzWyzPSCn5a3c
22,Joseph,british,ground reporter,middle aged,male,news,Zlb1dXrM653N07WRdFW3
23,Jeremy,american-irish,excited,young,male,narration,bVMeCyTHy58xNoL34h3p
24,Michael,american,orotund,old,male,audiobook,flq6f7yk4E4fJM5XTYuZ
25,Ethan,american,whisper,young,male,ASMR,g5CIjZEefAph4nQFvHAz
26,Gigi,american,childlish,young,female,animation,jBpfuIE2acCO8z3wKNLl
27,Freya,american,overhyped,young,female,video games,jsCqWAovK2LkecY7zXl4
28,Grace,american-southern,gentle,young,female,audiobook,oWAxZDx7w5VEj9dCyTzz
29,Daniel,british,deep,middle aged,male,news presenter,onwK4e9ZLuTAKqWW03F9
30,Serena,american,pleasant,middle aged,female,interactive,pMsXgVXv3BLzUgSXRplE
31,Adam,american,deep,middle aged,male,narration,pNInz6obpgDQGcFmaJgB
32,Nicole,american,whisper,young,female,audiobook,piTKgcLEGmPE4e6mEKli
33,Jessie,american,raspy,old,male,video games,t0jbNlBVZ17f02VDIeMI
34,Ryan,american,soldier,middle aged,male,audiobook,wViXBPUzp2ZZixB1xQuM
35,Sam,american,raspy,young,male,narration,yoZ06aMxZJJ28mfd3POQ
36,Glinda,american,witch,middle aged,female,video games,z9fAnlkpzviPz146aGWa
37,Giovanni,english-italian,foreigner,young,male,audiobook,zcAOhNBS3c14rBihAFp1
38,Mimi,english-swedish,childish,young,female,animation,zrHiDhphv9ZnVXBqCLjz
